Name,Latitude,Longitude
"Bangladesh",88.02178959200006,21.061102606000077
"Andorra",1.4292973220001102,42.43464609800007
"Afghanistan",60.48677779100012,29.386605326000037
"Montenegro",18.43735477700011,41.85236237200007
"Bosnia and Herz.",15.717314087000148,42.55921213800009
"Uganda",29.556004273000042,-1.3883895879999528
"Cuba",-84.39102128799993,19.85569896000004
"Honduras",-89.36162084999998,12.98155345300006
"Ecuador",-80.91618021799991,-4.961246438999922
"Colombia",-78.84605195599994,-4.236484476999905
"Paraguay",-62.65035721899994,-27.487313333999907
"Portugal",-9.491688605999911,37.022691148000035
"Moldova",26.617889038000015,45.46177398700006
"Turkmenistan",52.43767061735559,35.22270904500003
"Jordan",34.9493851167955,29.189950663999994
"Nepal",80.0363855390001,26.353327942000064
"Lesotho",27.01486739100008,-30.64970428499994
